time,r01c2,FP Instructions,SSE Instructions,instructions
1.000108146,4739688702,3399299,1128951,3957094114
2.000276733,8833243953,4540019,3644893,7523576492
3.000420506,6311869305,5517257,2944801,5380303030
4.000597747,294668733,83139,97967,234835483
5.000800846,4869698175,4243765,1880228,4109891833
6.000948422,6648521613,9661108,3644686,5545481903
7.001093788,5794524529,3597723,1596965,4866224848
8.001239208,6939927415,2982961,1461858,6312849254
9.001386975,5254176574,3003281,1613508,4360626207
10.001529623,3956785869,4224634,1124927,3269579705
11.001689632,4769979782,5211967,1599007,4006384302
12.001849766,3660471550,2888292,1039309,3077194777
13.001993074,2325192,1361,57,1783394
14.002131587,2171082,1087,49,1660434
15.002274821,2167445,1078,48,1658330
16.002424823,239691442,286782,56058,207450684
17.00260299,1828092712,975751,1181337,1624929857
18.002765704,1869944920,994284,1191739,1666741717
19.002905759,141531331,160487,49132,122625071
20.003073052,85160193,95829,26190,73558185
21.003234035,90806209,95910,27596,78453640
22.003385318,87674409,101188,34881,76198290
23.003543182,65290647,94246,19571,56988031
24.003708742,65294668,89663,16330,56891492
25.003851087,112458966,106272,41992,96905255
26.004006647,100230264,102945,38392,86750084
27.004160646,115357772,113026,54579,100079198
28.004309379,85285200,131117,31962,74116322
29.004463607,68255198,87417,16821,59336587
30.004613073,67164056,86182,16662,58537009
31.004765008,307998130,100207,17303,171714598
32.004935484,68892016,89445,17683,59823095
33.005081545,47941618,65269,12353,42565034
34.008842311,20355366,23151,4605,16719652
35.008991662,67173510,86997,16325,58516426
36.009139349,78264360,92494,20919,67557333
37.009288488,74954479,93355,24210,64981516
38.009430312,80622277,94779,24876,69704493
39.009583878,78243189,92121,22789,67741400
40.009736879,70663006,89282,18145,61366644
41.009893988,68029904,90603,17138,59111069
42.010045292,66864915,87951,16795,58145850
43.01020635,66722441,89627,20640,58130817
44.01036013,172033996,121980,76737,149704688
45.010495603,136139282,117110,61549,117672682
46.010664304,66321018,86195,16256,57765311
47.01083698,77594307,115445,23660,67043688
48.010982875,73918232,91899,19394,63886805
49.011136022,68065386,87351,16596,59109867
50.011299034,91486957,98379,30591,79181989
51.011448559,90235772,94557,16961,76046813
52.011613905,75162286,91302,24645,65042166
53.011753533,68368969,89267,21319,59423119
54.011911745,67421663,87632,17741,58638886
55.012063295,68002345,89678,21105,59138017
56.012201509,68089314,90604,21119,59192592
57.012350858,67370861,89399,19788,58594659
58.012516969,86707083,94746,27622,74780406
59.01268427,36937206,50260,10397,32865780
60.012839253,32300577,40535,9892,27250962
61.012991763,80615071,91857,24224,69729358
62.0131379,69395482,87791,18546,60321198
63.013276353,69386860,89163,19578,60304642
64.013412873,96398227,99696,36147,83134987
65.013575235,67216689,89449,20830,58551260
66.013745753,71022638,87278,16682,61607596
67.013890107,66545581,88550,19932,57972469
68.014029909,88799005,95907,27268,76511147
69.014169695,69591812,86753,16420,60483620
70.014310163,69038104,88161,17431,59963904
71.014453671,88125356,92749,16932,73233761
72.014590795,106242634,100486,34594,91227979
73.014736654,66479988,89718,20067,57966858
74.014886161,70423258,88107,17671,61184089
75.015036208,105585492,97756,32125,90713914
76.015184247,147493614,116027,63527,128054503
77.015344863,339404059,154894,135114,294828374
78.015484219,80561064,94022,27352,69656438
79.015615469,65684408,89932,20898,57324818
80.015762635,349584664,194919,183865,302785658
81.01589997,72781949,90095,20383,63196092
82.016035124,65985752,89416,21748,57630728
83.016174651,78104819,94573,27998,67871549
84.016324263,103205916,103485,45778,89623433
85.016468744,74565044,91571,25240,64910657
86.016618613,73679894,91381,23920,64113259
87.016771577,72126113,90860,23267,62862226
88.016919834,117000644,108204,47633,101621553
89.01706587,63748168,88881,21601,55783901
90.01719768,92540405,96794,21300,73874880
91.017336505,65382268,90096,21683,57140848
92.017480718,94517094,91317,21984,81380033
93.017622072,106766667,55558,76600,92095395
94.017761042,84219451,98109,28526,73223074
95.01789663,64056366,86984,16275,55985070
96.018038374,71888999,90525,19691,62674918
97.018178331,64692037,90069,19563,56530245
98.018345243,77240096,92617,21147,67119140
99.01850635,105198881,103433,46165,90884704
100.01864272,87260486,99137,32407,75442845
101.018787956,106504654,102537,37666,91613255
102.018980761,63278975,85877,16407,55384618
103.019184622,65297007,90472,22330,57102986
104.019381766,1491958611,986300,464568,1239112203
105.019563331,2484769,2023,51,1954855
106.019730998,1787994,1221,39,1365271
107.019932602,2494689,2012,45,1961695
108.020135052,1744037,1213,41,1333823
109.02028374,1740138,1186,46,1329614
110.020424111,1744806,1069,48,1334392
111.02057335,1752869,1312,44,1337173
112.020731345,29785244,39299,8252,25872714
113.020914996,149572063,225204,51679,132192039
114.021073487,59791311,88117,21363,52682386
115.021212478,66238470,89457,20798,57863537
116.021361458,59730868,87795,19530,52650876
117.021553201,59792037,87712,20479,52694464
118.021754104,72407180,93639,25821,63295288
119.021911349,78984718,94957,28563,68743987
120.022049795,61842293,88194,20446,54289069
121.022189222,91820706,101102,42922,79760303
122.022336858,62189203,88065,20031,54557326
123.022510059,111370951,112149,25673,87739660
123.77595622,629757861,401616,129725,529566769
