time,cs,cycles,instructions
1.000258667,103,4456634,627698
2.00057027,104,4577329,616679
3.000880903,107,3999137,784107
4.001158253,102,3970513,615598
5.001469787,104,4742092,623109
6.001760391,103,4544756,620914
7.002042309,102,4146777,599297
8.002318232,107,4672818,627579
9.002604291,101,4322991,622408
10.002893937,101,4195673,592915
11.003221487,2813,5243226519,5461199492
12.003662673,2434,6984571814,7148231684
13.004059101,662,4285529247,5183095707
14.004427175,1474,3435648662,3180227691
15.004770512,214,73264083,58594051
16.005270334,5660,13814346939,11833946420
17.005717772,3886,13911373771,12705330899
18.006125153,2710,18088673395,18185429648
19.006552063,1497,7252551777,11300995196
20.006970079,1276,6294283833,10653418177
21.007402438,1246,6309642345,10694731266
22.0078225,1437,7865703959,11928780084
23.008259342,1198,6697235716,11072538821
24.008781362,1216,6540149366,11126693242
25.0091985,1170,6219621763,10788162143
26.009703448,1072,6133652928,10808777525
27.010114382,1226,6578318465,11146596486
28.010550471,1131,6135020243,10749992441
29.011044564,1153,6212394837,10833914391
30.011537964,981,6078465736,10753081925
31.012061705,970,6046491847,10799356768
32.012564514,1088,6107440259,10796894920
33.013076056,1030,6140002120,10881500515
34.013608809,911,6013223538,10789830140
35.014117471,1068,6180083254,10846077446
36.014550265,1028,6299455759,10859512390
37.01498296,948,6043943078,10723568012
38.015402085,1105,6142307864,10753733289
39.015889141,1014,6142295787,10769912010
40.016324221,1025,6137255086,10771522177
41.016890284,1423,6850058868,11142641374
42.017413259,2765,9618566555,11832250656
43.017869439,1088,6276964920,10734978664
44.018291202,1001,6100013527,10741089840
45.018812603,1000,6669056938,11100723034
46.019227591,1104,6156949907,10768893893
47.019642239,938,5987986009,10733843284
48.020058586,1068,6243160487,11008381835
49.020487289,1072,6262389442,10808298695
50.020984237,954,6034340538,10740318689
51.021411256,1001,6064131698,10769104181
52.021835309,1131,6210929031,10832852090
53.022285834,982,6115057298,10716935457
54.022710333,918,6094958891,10732181977
55.023149964,1157,6318082786,10738647924
56.023568727,1048,6083963775,10710028858
57.024000023,933,6028766495,10695761689
58.024423017,1051,6154170583,10740545678
59.024833622,905,6175205064,10728479549
60.025241868,860,6005255757,10703175919
61.025688471,959,6073190937,10770012082
62.026134177,996,6061656812,10660330356
63.026559146,970,6066205354,10721274784
64.026987944,955,6072489993,10696672133
65.027413347,2686,7968975755,10740599292
66.027835965,936,6134814679,10693840114
67.028286897,987,6112060251,10739275372
68.028800019,933,6087433383,10826275455
69.029305178,962,6056595426,10702021275
70.029810251,945,6097559841,10807037232
71.030334796,896,6004119116,10707282488
72.030843086,1016,6077207482,10722736220
73.031293178,896,6050722678,10745800418
74.031705199,987,6164552870,10761735506
75.032203026,958,6028348569,10731433866
76.032631308,907,6128424017,10749824691
77.033036995,983,6164058847,10776011902
78.033442076,867,6113863661,10722210727
79.033863657,882,6005525334,10682120545
80.034353409,945,6026637196,10710562633
81.034854548,980,6208516553,10742478744
82.035365344,963,6113582508,10733746012
83.035880363,906,6131816073,10764964910
84.03638444,943,6045972332,10740082613
85.03683374,1086,6139313064,10737600472
86.037256406,886,6062109542,10768902776
87.037749239,971,6031038421,10722812504
88.038253839,1538,6488754142,10328682559
89.038775252,1665,6514339425,10245893112
90.039200048,912,6014020945,10705871314
91.039621408,937,6027692136,10686270280
92.040035458,972,6029921333,10705225643
93.040485046,938,6010901122,10663562278
94.040912902,867,6058313037,10717542431
95.041332571,960,6090352093,10620856253
96.041840566,946,6048569606,10652306208
97.042282646,898,6089960679,10651441798
98.042707646,943,5958166971,10671710513
99.043205987,1023,6027007995,10703299878
100.043622039,871,6115143865,10670339234
101.044041928,889,6081790856,10682154758
102.044557955,972,6028565526,10653415922
103.045038978,996,6051238617,10647515942
104.045463054,879,6024050522,10670289726
105.045869048,981,6021022269,10664575133
106.046291517,861,6040603306,10695145638
107.046704671,925,6133889224,10761650535
108.047108771,949,6080817028,10712761820
109.047514037,904,6027769795,10686574657
110.04792364,936,6058190353,10728961413
111.048322407,1043,4964708990,8589033970
112.04872292,1741,5645137873,7793293863
113.049123582,591,3035651099,5560030424
114.049554526,646,3083374572,5570577513
115.049992113,659,3046517814,5546871844
116.050392032,655,3192776277,5747160005
117.050805752,690,3114901933,5615134824
118.051309003,9091,11363805190,8854862347
118.771037418,1564,1634197192,1275447047
