time,r01c2,FP Instructions,SSE Instructions,instructions
1.000260293,4764117056,3471977,1086855,3949560168
2.000590616,9858866522,6747503,5573164,8334333528
3.000989797,5548095790,3898922,2052865,4706086407
4.00139454,97759841,72648,2030,55623273
5.001661412,7121149836,7879341,3310177,5939334262
6.001980657,5527099671,6331606,2415080,4566032229
7.002308113,5477802254,4246407,1592003,4623809929
8.002563234,5677450793,1996905,348268,5140369906
9.002832881,5184898410,2641566,1598307,4276563507
10.003097155,3181919269,3655630,783443,2619037409
11.003372863,6328907801,6651083,2231401,5405312821
12.003594153,5115287692,4772694,1666736,4325562450
13.003953716,6746092021,3797061,2038304,5763468459
14.004220101,1223876713,920091,178089,946669693
15.004543936,7211213446,3611553,2687823,6064224252
16.004871322,6087171288,4036850,2085191,5217989592
17.005142939,6096878114,4179530,1844510,5067993410
18.005563467,3558215633,2214245,1460200,3057630144
19.005876871,406707067,442018,108737,330555085
20.006084454,20689847541,12182022,5730724,17260263276
21.00628967,24790621279,9077073,7838759,21059305441
22.006518826,25243068204,13699703,10067496,21250647489
23.006753099,24749537780,16004962,9842522,20635689559
24.006973363,20947247284,17710434,5433013,17395785236
25.007185081,21336172411,17071601,5429220,16482901226
26.007406594,27623529964,24186116,9406726,24527998169
27.007621864,34981992741,45985930,5085268,32119456793
28.007843753,39106735806,57751512,4056196,37162038765
29.008070051,38275409580,54852286,3927686,35804339461
30.00827767,34652869313,59084916,3937761,32511293561
31.008513556,33738809851,552152835,2417089,31574135819
32.008730463,31376957077,668215872,527311,29423173746
33.008946563,31703442211,77806825,1168942,25315796705
34.009159769,9873588260,5055126,2130028,8005351302
35.009413215,14103160704,7872427,4807010,11948565647
36.009633895,16466423212,10381967,5013274,13658025336
37.009841772,20298546896,12850375,6222759,17138656506
38.010068529,23226636958,14761668,6339634,19625196133
39.010293879,25788493642,21516113,5729212,21493113906
40.010552997,26827548948,85961356,4993580,21493240662
41.010793144,19750696178,74630623,5582868,16169538238
42.011099224,14017272558,92051058,3101657,11280308895
43.011341614,9084213516,20913500,3358932,7242938027
44.011596625,13824572824,18812338,5105398,11435270228
45.011799902,17385480866,20831674,5372780,14824205829
46.012075888,16252701467,30844515,3259444,13809451009
47.012376546,16141874920,31517937,3063730,13750764276
48.012663207,16036028668,31535493,3072816,13709473323
49.01292734,16241903648,31483104,3128660,13848142805
50.013244899,8857112608,15452024,1686732,7442158239
51.013846243,605457130,421431,98891,465595136
52.014135676,2287707764,1471457,593067,1825418094
53.014845422,168644169,52671,38678,72714805
54.015871633,31750330,33661,321,9580885
55.016929294,58697934,46420,2575,28817681
56.017876658,48279097,38758,494,20189858
57.01880417,134513052,108982,8818,89704190
58.01907273,4892289090,2875219,1190215,3997879200
59.019373448,7872385183,4212986,3206085,6716406116
60.019638034,5974989562,4024349,1838667,4978211580
61.019961715,3386963587,2377762,947487,2830002670
62.020830538,680916226,693669,187121,570184147
63.021064257,11290831991,8265509,2936852,9459561668
64.021279639,22613943425,8288513,6373144,18844310399
65.021498107,25650955378,12806702,10220587,21745522685
66.021740187,25800642663,13878440,10259648,21624952245
67.021938746,22235502583,18558070,5522536,18514907827
68.022155077,18139489269,15904402,4018121,14441283785
69.022374071,21821523562,12164362,9326138,18236382412
70.022601968,29066218032,22650811,11129119,25508573629
71.02282172,32720679844,26222233,11573909,28930379256
72.023051214,34524567864,30305258,11992381,31203394800
73.023251735,33649414588,28459082,11588742,30040672625
74.023467752,32163134769,27770292,10906820,28630211080
75.023691612,37113961749,320572013,9053237,33811301811
76.023910732,40139420963,756756098,760353,37092794630
77.024148834,35063362863,202998170,1279330,28864583151
78.024340032,14089208591,9100028,2618274,11414383677
79.024541168,23575098636,10059608,7558830,19784900786
80.024756699,24070600747,12359118,9250802,20372117527
81.024999847,24546851573,14411743,8310851,20491839006
82.025214569,22430626965,14978270,6656708,18390364974
83.025441146,20364757709,16180455,5109417,16220901030
84.025674088,25457695438,17697773,10076006,21675379518
85.025897512,28880952745,21665188,11306069,25377695739
86.026123162,34301930836,29483810,12491566,30943508818
87.026346577,33939672083,29232195,12039419,30500917073
88.026546978,32817497662,28755504,11619330,29551349377
89.02675572,32609473095,65040498,10929521,28959655676
90.026984174,39076513600,529385352,6017408,35913087037
91.027201185,39874479832,459937117,2691682,34902038255
92.027421728,25888828340,216181880,1961636,21893274789
93.027672163,25322210217,13749484,6357504,20724411288
94.027902673,21640343861,10728602,6948743,18178439419
95.02811716,23561299293,12832396,7398231,19399972231
96.028347346,21733108175,13715318,6807434,18138439299
97.028573766,21778383462,14366245,7550906,17993886452
98.028798452,22163747648,16169498,7332120,18322781286
99.02901543,24377947794,18027505,8480426,20862216583
100.029259126,25826421806,21830410,9164915,23412397816
101.029464662,26097825085,22559090,8500839,23491390873
102.029674002,26412931773,84895148,7932359,24019711668
103.029918502,27477872002,206980648,6489897,24901587120
104.030172076,25641075158,333702724,2232868,22840311626
105.030485696,19631643001,193349363,650190,16764383284
106.030724641,12725693729,33576085,1594207,10475994308
107.030978417,18148297139,7789104,5531263,15016974520
108.031237347,19688585683,10608295,6109659,16416315265
109.031451727,20662052980,12522405,6846362,16976342796
110.031656744,18926252237,14293560,6055204,15593416252
111.031885065,19505070267,13729600,5977069,16234454646
112.032083389,20124152201,16162449,7341926,18050294635
113.03234255,19545729597,16981560,6575955,17824281605
114.032597588,18938092141,16573115,6141524,17128270167
115.03285653,20202003763,61595742,6075153,18292710657
116.033108676,19760797919,270426981,2878449,18208365448
117.033362753,22031697214,250422671,862424,19051514968
118.033559515,13360245266,49505123,917895,10727873858
119.03386444,10938688716,5131365,3194354,8926353181
120.034094695,15833750511,8653054,5203638,13252679085
121.0342962,17176969020,10760789,5550294,14365063338
122.034553275,15225015673,11271143,4826113,12670591091
123.034819657,16572705983,12891154,5420031,14056889463
124.035069923,17748720459,15709832,6477551,15729833834
125.035296763,19540717148,17517094,7036154,17473166672
126.035563989,12872733831,12022036,4915826,11633693987
127.035830292,17948461022,16518054,6342110,16084651628
128.036097238,20043610210,109859155,5916549,18448961268
129.036350394,22114063896,292461008,2990825,19975811804
130.036618432,18588762452,243340608,334963,16088908720
131.036877068,15692552337,26402643,2856924,12576040817
132.037079676,31429092240,69323076,11821640,25134106732
133.037288597,29846219290,63851844,11441636,24352448116
134.037531475,18979616710,11624876,6103218,15970465187
135.037779002,15242480374,11052403,4284835,12629107777
136.040627459,14113196963,11656436,4399501,11837718988
137.040882253,17265282590,13232588,6662606,15035410478
138.041141389,20265148825,16499454,7113657,18001110437
139.041375574,19066580789,17321830,6610968,17445296500
140.041643762,19659295270,33503423,6603271,17647576270
141.041877383,19931229423,164092770,4558670,18498147537
142.042084364,22540428799,235093164,2874415,19889453943
143.042322199,14901413159,228501277,245437,13261179420
144.042563479,9740057680,6733249,905134,7792777085
145.042830422,10510306913,4922445,3220296,8678174465
146.043096493,15912547441,9219934,5230856,13385565321
147.043322147,16335350503,10615303,5309948,13613084908
148.043587096,15808191891,9692497,5522780,12973329150
149.043794867,15185702455,12813055,4595941,13002935828
150.044054664,18733688506,14998981,6514938,16093174571
151.044276344,19485382980,16775139,7072160,17556213640
152.044491869,18908523573,16997602,6591581,17165646311
153.044702318,19819426547,74058036,6185369,17999870310
154.044951766,20120770420,182791460,4412984,18287045155
155.045214247,20103561512,187262483,2565298,17716477492
156.045545608,14365824785,190155733,381529,12561471614
157.04589975,8822271222,24615664,775116,7195590893
158.046221521,10211936553,4965704,3167129,8465886447
159.04647811,14264634775,7916798,4749741,11945464127
160.046703901,11039162403,8578675,3128279,9168298467
161.046903744,12200945318,9370707,4090374,10265819423
162.047156007,18614221971,11016715,6585107,15611783430
